,T1 Canada Level 3,T1 Canada Level 2,T1 International,T1 United States,T3 Canada,T3 International,T3 United States
2022-05-08 09:10:03.738667,10-15 min,Less than 5 min,Less than 5 min,20-25 min,More than 30 min,Less than 5 min,20-25 min
2022-05-08 09:20:03.855283,10-15 min,Less than 5 min,Less than 5 min,20-25 min,More than 30 min,Less than 5 min,15-20 min
2022-05-08 09:30:04.299938,10-15 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,Less than 5 min,10-15 min
2022-05-08 09:40:04.529663,15-20 min,Less than 5 min,Less than 5 min,More than 30 min,More than 30 min,5-10 min,10-15 min
2022-05-08 09:50:04.327665,Less than 5 min,Less than 5 min,5-10 min,More than 30 min,More than 30 min,10-15 min,15-20 min
2022-05-08 10:00:04.009949,15-20 min,Less than 5 min,Less than 5 min,25-30 min,More than 30 min,10-15 min,5-10 min
2022-05-08 10:10:07.627265,20-25 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-08 10:20:03.957553,25-30 min,Less than 5 min,10-15 min,15-20 min,Less than 5 min,10-15 min,Less than 5 min
2022-05-08 10:30:04.641183,20-25 min,Less than 5 min,10-15 min,5-10 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-08 10:40:03.481819,20-25 min,Less than 5 min,10-15 min,10-15 min,Less than 5 min,5-10 min,Less than 5 min
2022-05-08 10:50:03.669567,More than 30 min,Less than 5 min,15-20 min,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 11:00:04.776209,More than 30 min,Less than 5 min,15-20 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 11:10:03.748586,More than 30 min,Less than 5 min,15-20 min,5-10 min,20-25 min,Less than 5 min,Less than 5 min
2022-05-08 11:20:04.014158,Less than 5 min,Less than 5 min,15-20 min,10-15 min,25-30 min,Less than 5 min,Less than 5 min
2022-05-08 11:30:03.665377,Less than 5 min,Less than 5 min,10-15 min,10-15 min,20-25 min,5-10 min,5-10 min
2022-05-08 11:40:03.920556,Less than 5 min,Less than 5 min,5-10 min,15-20 min,15-20 min,Less than 5 min,5-10 min
2022-05-08 11:50:04.118343,5-10 min,Less than 5 min,Less than 5 min,15-20 min,15-20 min,Less than 5 min,5-10 min
2022-05-08 12:00:04.224243,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,5-10 min
2022-05-08 12:10:04.085834,5-10 min,Less than 5 min,Less than 5 min,More than 30 min,5-10 min,Less than 5 min,5-10 min
2022-05-08 12:20:04.388894,Less than 5 min,Less than 5 min,Less than 5 min,25-30 min,Less than 5 min,Less than 5 min,5-10 min
2022-05-08 12:30:03.714552,Less than 5 min,Less than 5 min,Less than 5 min,15-20 min,Less than 5 min,Less than 5 min,10-15 min
2022-05-08 12:40:03.527637,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,10-15 min
2022-05-08 12:50:07.388652,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min
2022-05-08 13:00:08.828196,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min
2022-05-08 13:10:04.374055,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 13:20:08.179841,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 13:30:04.001081,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 13:40:04.793980,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 13:50:03.942205,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 14:00:03.715903,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 14:10:03.540945,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 14:20:08.684662,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 14:30:03.988198,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 14:40:03.786836,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 14:50:04.174880,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 15:00:04.707026,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 15:10:03.928799,15-20 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 15:20:04.257842,25-30 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 15:30:07.881627,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-08 15:40:04.508173,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min,10-15 min,Less than 5 min,Less than 5 min
2022-05-08 15:50:03.800782,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
2022-05-08 16:00:03.488651,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 16:10:03.774267,25-30 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 16:20:04.062219,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 16:30:04.847141,More than 30 min,Less than 5 min,5-10 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 16:40:03.918726,Less than 5 min,Less than 5 min,10-15 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 16:50:04.026547,More than 30 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min
2022-05-08 17:00:03.705620,25-30 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min
2022-05-08 17:10:03.824385,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min
2022-05-08 17:20:04.452677,10-15 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min
2022-05-08 17:30:03.835076,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min
2022-05-08 17:40:04.042968,More than 30 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min
2022-05-08 17:50:07.741317,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min
2022-05-08 18:00:03.530979,More than 30 min,Less than 5 min,Less than 5 min,Less than 5 min,5-10 min,Less than 5 min,5-10 min
2022-05-08 18:10:03.340050,15-20 min,Less than 5 min,5-10 min,Less than 5 min,5-10 min,Less than 5 min,Less than 5 min
